"Velocity:0","Velocity:1","Velocity:2","vtkGhostType","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
4.9939,0.0041853,0,0,1,0,-110,0,0.025
4.9939,0.0041853,0,0,1,0.22,-109.78,0,0.025
4.9939,0.0041853,0,0,1,0.44,-109.56,0,0.025
4.9939,0.0041853,0,0,1,0.66,-109.34,0,0.025
4.9939,0.0041853,0,0,1,0.88,-109.12,0,0.025
4.9939,0.0041853,0,0,1,1.1,-108.9,0,0.025
4.9772,0.0079181,0,0,1,1.32,-108.68,0,0.025
4.9772,0.0079181,0,0,1,1.54,-108.46,0,0.025
4.9772,0.0079181,0,0,1,1.76,-108.24,0,0.025
4.9772,0.0079181,0,0,1,1.98,-108.02,0,0.025
4.9772,0.0079181,0,0,1,2.2,-107.8,0,0.025
4.949,0.014389,0,0,1,2.42,-107.58,0,0.025
4.949,0.014389,0,0,1,2.64,-107.36,0,0.025
4.949,0.014389,0,0,1,2.86,-107.14,0,0.025
4.949,0.014389,0,0,1,3.08,-106.92,0,0.025
4.949,0.014389,0,0,1,3.3,-106.7,0,0.025
4.9071,0.021703,0,0,1,3.52,-106.48,0,0.025
4.9071,0.021703,0,0,1,3.74,-106.26,0,0.025
4.9071,0.021703,0,0,1,3.96,-106.04,0,0.025
4.9071,0.021703,0,0,1,4.18,-105.82,0,0.025
4.8523,0.029676,0,0,1,4.4,-105.6,0,0.025
4.8523,0.029676,0,0,1,4.62,-105.38,0,0.025
4.8523,0.029676,0,0,1,4.84,-105.16,0,0.025
4.8523,0.029676,0,0,1,5.06,-104.94,0,0.025
4.7861,0.038352,0,0,1,5.28,-104.72,0,0.025
4.7861,0.038352,0,0,1,5.5,-104.5,0,0.025
4.7861,0.038352,0,0,1,5.72,-104.28,0,0.025
4.7861,0.038352,0,0,1,5.94,-104.06,0,0.025
4.7101,0.047618,0,0,1,6.16,-103.84,0,0.025
4.7101,0.047618,0,0,1,6.38,-103.62,0,0.025
4.7101,0.047618,0,0,1,6.6,-103.4,0,0.025
4.6274,0.055799,0,0,1,6.82,-103.18,0,0.025
4.6274,0.055799,0,0,1,7.04,-102.96,0,0.025
4.6274,0.055799,0,0,1,7.26,-102.74,0,0.025
4.5405,0.062184,0,0,1,7.48,-102.52,0,0.025
4.5405,0.062184,0,0,1,7.7,-102.3,0,0.025
