Points:0,Points:1,Velocity
-20.0,-24.485,5.000699999999999
-20.0,-23.969,5.000699999999999
-20.0,-23.454,5.000699999999999
-20.0,-22.938,5.000699999999999
-20.0,-22.423,5.000699999999999
-20.0,-21.907,5.000699999999999
-20.0,-21.392,5.000699999999999
-20.0,-20.876,5.000699999999999
-20.0,-20.361,5.000699999999999
-20.0,-19.845,5.000699999999999
-20.0,-19.33,5.000666666666667
-20.0,-18.814,5.0006
-20.0,-18.299,5.0006
-20.0,-17.784,5.0006
-20.0,-17.268,5.0006
-20.0,-16.753,5.0006
-20.0,-16.237,5.000566666666667
-20.0,-15.722,5.0005
-20.0,-15.206,5.0005
-20.0,-14.691,5.0005
-20.0,-14.175,5.0004
-20.0,-13.66,5.0004
-20.0,-13.144,5.0004
-20.0,-12.629,5.000299999999999
-20.0,-12.113,5.000299999999999
-20.0,-11.598,5.0002
-20.0,-11.082,5.0002
-20.0,-10.567,5.0001
-20.0,-10.052,5.000066666666666
-20.0,-9.5361,5.0
-20.0,-9.0206,4.9999
-20.0,-8.5052,4.9999
-20.0,-7.9897,4.9998000000000005
-20.0,-7.4742,4.9997
-20.0,-6.9588,4.9997
-20.0,-6.4433,4.999599999999999
-20.0,-5.9278,4.999599999999999
-20.0,-5.4124,4.9995
-20.0,-4.8969,4.9995
-20.0,-4.3814,4.9994000000000005
-20.0,-3.866,4.9994000000000005
-20.0,-3.3505,4.9993
-20.0,-2.8351,4.9993
-20.0,-2.3196,4.999233333333333
-20.0,-1.8041,4.999199999999999
-20.0,-1.2887,4.999199999999999
-20.0,-0.7732,4.999199999999999
-20.0,-0.25773,4.999199999999999
-20.0,0.25773,4.999199999999999
-20.0,0.7732,4.999199999999999
-20.0,1.2887,4.999199999999999
-20.0,1.8041,4.999199999999999
-20.0,2.3196,4.999233333333333
-20.0,2.8351,4.9993
-20.0,3.3505,4.9993
-20.0,3.866,4.9994000000000005
-20.0,4.3814,4.9994000000000005
-20.0,4.8969,4.999433333333333
-20.0,5.4124,4.9995
-20.0,5.9278,4.999599999999999
-20.0,6.4433,4.999599999999999
-20.0,6.9588,4.9997
-20.0,7.4742,4.9997
-20.0,7.9897,4.9998000000000005
-20.0,8.5052,4.9999
-20.0,9.0206,4.9999
-20.0,9.5361,5.0
-20.0,10.052,5.000033333333333
-20.0,10.567,5.0001
-20.0,11.082,5.0002
-20.0,11.598,5.0002
-20.0,12.113,5.000299999999999
-20.0,12.629,5.000299999999999
-20.0,13.144,5.000333333333334
-20.0,13.66,5.0004
-20.0,14.175,5.0004
-20.0,14.691,5.0005
-20.0,15.206,5.0005
-20.0,15.722,5.0005
-20.0,16.237,5.000533333333333
-20.0,16.753,5.0006
-20.0,17.268,5.0006
-20.0,17.784,5.0006
-20.0,18.299,5.0006
-20.0,18.814,5.0006
-20.0,19.33,5.000633333333333
-20.0,19.845,5.000683333333333
-20.0,20.361,5.000699999999999
-20.0,20.876,5.000699999999999
-20.0,21.392,5.000699999999999
-20.0,21.907,5.000699999999999
-20.0,22.423,5.000699999999999
-20.0,22.938,5.000699999999999
-20.0,23.454,5.000699999999999
-20.0,23.969,5.000699999999999
-20.0,24.485,5.000699999999999
-19.871,-24.871,5.000699999999999
-19.871,24.871,5.000699999999999
-19.863,-24.485,5.0003
-19.863,-23.969,5.0003
-19.863,-23.454,5.0003
-19.863,-22.938,5.0003
-19.863,-22.423,5.0003
-19.863,-21.907,5.0003
-19.863,-21.392,5.0003
-19.863,-20.876,5.00025
-19.863,-20.361,5.00025
-19.863,-19.845,5.00025
-19.863,-19.33,5.00025
-19.863,-18.814,5.00025
-19.863,-18.299,5.00025
-19.863,-17.784,5.00025
-19.863,-17.268,5.0002
-19.863,-16.753,5.0001500000000005
-19.863,-16.237,5.0001500000000005
-19.863,-15.722,5.0001500000000005
-19.863,-15.206,5.000100000000001
-19.863,-14.691,5.00005
-19.863,-14.175,5.00005
-19.863,-13.66,5.0
-19.863,-13.144,4.99995
-19.863,-12.629,4.99995
-19.863,-12.113,4.9998499999999995
-19.863,-11.598,4.9998499999999995
-19.863,-11.082,4.99975
-19.863,-10.567,4.99975
-19.863,-10.052,4.99965
-19.863,-9.5361,4.9996
-19.863,-9.0206,4.99955
-19.863,-8.5052,4.99945
-19.863,-7.9897,4.99945
-19.863,-7.4742,4.99935
-19.863,-6.9588,4.9993
-19.863,-6.4433,4.99925
-19.863,-5.9278,4.99915
-19.863,-5.4124,4.999099999999999
-19.863,-4.8969,4.9990499999999995
-19.863,-4.3814,4.999
-19.863,-3.866,4.99895
-19.863,-3.3505,4.99895
-19.863,-2.8351,4.9989
-19.863,-2.3196,4.99885
-19.863,-1.8041,4.99885
-19.863,-1.2887,4.9988
-19.863,-0.7732,4.9988
-19.863,-0.25773,4.9988
-19.863,0.25773,4.9988
-19.863,0.7732,4.9988
-19.863,1.2887,4.9988
-19.863,1.8041,4.99885
-19.863,2.3196,4.99885
-19.863,2.8351,4.99885
-19.863,3.3505,4.99895
-19.863,3.866,4.99895
-19.863,4.3814,4.999
-19.863,4.8969,4.9990499999999995
-19.863,5.4124,4.999099999999999
-19.863,5.9278,4.99915
-19.863,6.4433,4.99925
-19.863,6.9588,4.9993
-19.863,7.4742,4.99935
-19.863,7.9897,4.9994000000000005
-19.863,8.5052,4.99945
-19.863,9.0206,4.99955
-19.863,9.5361,4.9996
-19.863,10.052,4.99965
-19.863,10.567,4.9997
-19.863,11.082,4.99975
-19.863,11.598,4.9998
-19.863,12.113,4.9998499999999995
-19.863,12.629,4.999899999999999
-19.863,13.144,4.99995
-19.863,13.66,5.0
-19.863,14.175,5.00005
-19.863,14.691,5.00005
-19.863,15.206,5.000100000000001
-19.863,15.722,5.0001500000000005
-19.863,16.237,5.0001500000000005
-19.863,16.753,5.0001500000000005
-19.863,17.268,5.0002
-19.863,17.784,5.0002
-19.863,18.299,5.00025
-19.863,18.814,5.00025
-19.863,19.33,5.00025
-19.863,19.845,5.00025
-19.863,20.361,5.00025
-19.863,20.876,5.00025
-19.863,21.392,5.00025
-19.863,21.907,5.0003
-19.863,22.423,5.0003
-19.863,22.938,5.0003
-19.863,23.454,5.0003
-19.863,23.969,5.0003
-19.863,24.485,5.0003
-19.742,-24.742,5.000425
-19.742,24.742,5.0003
-19.485,-25.0,5.001666666666667
-19.485,-24.863,5.00085
-19.485,-24.485,5.00085
-19.485,-23.969,5.00085
-19.485,-23.454,5.00085
-19.485,-22.938,5.00085
-19.485,-22.423,5.0008
-19.485,-21.907,5.0008
-19.485,-21.392,5.0008
-19.485,-20.876,5.0008
-19.485,-20.361,5.00075
-19.485,-19.845,5.00075
-19.485,-19.33,5.00075
-19.485,-18.814,5.000699999999999
-19.485,-18.299,5.000649999999999
-19.485,-17.784,5.000649999999999
-19.485,-17.268,5.0005999999999995
-19.485,-16.753,5.00055
-19.485,-16.237,5.0005
-19.485,-15.722,5.00045
-19.485,-15.206,5.00035
-19.485,-14.691,5.0003
-19.485,-14.175,5.0002
-19.485,-13.66,5.000100000000001
-19.485,-13.144,5.0
-19.485,-12.629,4.999899999999999
-19.485,-12.113,4.9998
-19.485,-11.598,4.99965
-19.485,-11.082,4.99955
-19.485,-10.567,4.9994000000000005
-19.485,-10.052,4.99925
-19.485,-9.5361,4.999099999999999
-19.485,-9.0206,4.99895
-19.485,-8.5052,4.9988
-19.485,-7.9897,4.9986500000000005
-19.485,-7.4742,4.9985
-19.485,-6.9588,4.998349999999999
-19.485,-6.4433,4.9982
-19.485,-5.9278,4.99805
-19.485,-5.4124,4.9979000000000005
-19.485,-4.8969,4.997800000000001
-19.485,-4.3814,4.99765
-19.485,-3.866,4.9975499999999995
-19.485,-3.3505,4.99745
-19.485,-2.8351,4.99735
-19.485,-2.3196,4.99725
-19.485,-1.8041,4.99725
-19.485,-1.2887,4.99715
-19.485,-0.7732,4.99715
-19.485,-0.25773,4.99715
-19.485,0.25773,4.99715
-19.485,0.7732,4.99715
-19.485,1.2887,4.99715
-19.485,1.8041,4.9972
-19.485,2.3196,4.99725
-19.485,2.8351,4.99735
-19.485,3.3505,4.99745
-19.485,3.866,4.9975499999999995
-19.485,4.3814,4.99765
-19.485,4.8969,4.99775
-19.485,5.4124,4.9979000000000005
-19.485,5.9278,4.99805
-19.485,6.4433,4.9982
-19.485,6.9588,4.998349999999999
-19.485,7.4742,4.9985
-19.485,7.9897,4.9986500000000005
-19.485,8.5052,4.9988
-19.485,9.0206,4.99895
-19.485,9.5361,4.999099999999999
-19.485,10.052,4.99925
-19.485,10.567,4.999350000000001
-19.485,11.082,4.9995
-19.485,11.598,4.99965
-19.485,12.113,4.99975
-19.485,12.629,4.9998499999999995
-19.485,13.144,5.0
-19.485,13.66,5.000100000000001
-19.485,14.175,5.0001500000000005
-19.485,14.691,5.00025
-19.485,15.206,5.00035
-19.485,15.722,5.0004
-19.485,16.237,5.00045
-19.485,16.753,5.0005
-19.485,17.268,5.00055
-19.485,17.784,5.0005999999999995
-19.485,18.299,5.000649999999999
-19.485,18.814,5.000699999999999
-19.485,19.33,5.000699999999999
-19.485,19.845,5.00075
-19.485,20.361,5.00075
-19.485,20.876,5.00075
-19.485,21.392,5.0008
-19.485,21.907,5.0008
-19.485,22.423,5.0008
-19.485,22.938,5.0008
-19.485,23.454,5.0008
-19.485,23.969,5.00085
-19.485,24.485,5.00085
-19.485,24.863,5.00085
-19.485,25.0,5.001666666666667
-18.969,-25.0,5.004366666666666
-18.969,-24.863,5.0025
-18.969,-24.485,5.0025
-18.969,-23.969,5.0025
-18.969,-23.454,5.0024500000000005
-18.969,-22.938,5.0024500000000005
-18.969,-22.423,5.0024500000000005
-18.969,-21.907,5.0024500000000005
-18.969,-21.392,5.002400000000001
-18.969,-20.876,5.00235
-18.969,-20.361,5.00235
-18.969,-19.845,5.00225
-18.969,-19.33,5.002199999999999
-18.969,-18.814,5.002149999999999
-18.969,-18.299,5.00205
-18.969,-17.784,5.00195
-18.969,-17.268,5.00185
-18.969,-16.753,5.00175
-18.969,-16.237,5.0016
-18.969,-15.722,5.00145
-18.969,-15.206,5.00125
-18.969,-14.691,5.00105
-18.969,-14.175,5.00085
-18.969,-13.66,5.0005999999999995
-18.969,-13.144,5.00035
-18.969,-12.629,5.00005
-18.969,-12.113,4.99975
-18.969,-11.598,4.99945
-18.969,-11.082,4.999099999999999
-18.969,-10.567,4.99875
-18.969,-10.052,4.99835
-18.969,-9.5361,4.99795
-18.969,-9.0206,4.9975499999999995
-18.969,-8.5052,4.99715
-18.969,-7.9897,4.99675
-18.969,-7.4742,4.9963500000000005
-18.969,-6.9588,4.99595
-18.969,-6.4433,4.99555
-18.969,-5.9278,4.99515
-18.969,-5.4124,4.994800000000001
-18.969,-4.8969,4.99445
-18.969,-4.3814,4.9941
-18.969,-3.866,4.993799999999999
-18.969,-3.3505,4.99355
-18.969,-2.8351,4.9933000000000005
-18.969,-2.3196,4.9931
-18.969,-1.8041,4.9929
-18.969,-1.2887,4.9928
-18.969,-0.7732,4.9927
-18.969,-0.25773,4.9927
-18.969,0.25773,4.9927
-18.969,0.7732,4.9927
-18.969,1.2887,4.9928
-18.969,1.8041,4.9929
-18.969,2.3196,4.9931
-18.969,2.8351,4.9933000000000005
-18.969,3.3505,4.9935
-18.969,3.866,4.993799999999999
-18.969,4.3814,4.9941
-18.969,4.8969,4.9944
-18.969,5.4124,4.99475
-18.969,5.9278,4.99515
-18.969,6.4433,4.9955
-18.969,6.9588,4.9959
-18.969,7.4742,4.996300000000001
-18.969,7.9897,4.9967
-18.969,8.5052,4.9971000000000005
-18.969,9.0206,4.9975
-18.969,9.5361,4.9979000000000005
-18.969,10.052,4.9982999999999995
-18.969,10.567,4.9986500000000005
-18.969,11.082,4.999
-18.969,11.598,4.99935
-18.969,12.113,4.9997
-18.969,12.629,5.0
-18.969,13.144,5.00025
-18.969,13.66,5.00055
-18.969,14.175,5.00075
-18.969,14.691,5.001
-18.969,15.206,5.0012
-18.969,15.722,5.0013499999999995
-18.969,16.237,5.00155
-18.969,16.753,5.00165
-18.969,17.268,5.0018
-18.969,17.784,5.00195
